UT,UT_author,full_name,family_name,given_name,author_order
WOS:000763961400001,"WOS:000763961400001_Evans, William N.","Evans, William N.",Evans,William N.,2
WOS:000763961400001,"WOS:000763961400001_Lieber, Ethan M. J.","Lieber, Ethan M. J.",Lieber,Ethan M. J.,3
WOS:000763961400001,"WOS:000763961400001_Powell, David","Powell, David",Powell,David,4
WOS:000728439200011,"WOS:000728439200011_Guriev, Sergei","Guriev, Sergei",Guriev,Sergei,1
WOS:000728439200011,"WOS:000728439200011_Melnikov, Nikita","Melnikov, Nikita",Melnikov,Nikita,2
WOS:000728439200011,"WOS:000728439200011_Zhuravskaya, Ekaterina","Zhuravskaya, Ekaterina",Zhuravskaya,Ekaterina,3
WOS:000489163400005,"WOS:000489163400005_Liu, Ernest","Liu, Ernest",Liu,Ernest,1
WOS:000451281400004,"WOS:000451281400004_Mertens, Karel","Mertens, Karel",Mertens,Karel,1
WOS:000451281400004,"WOS:000451281400004_Olea, Jose Luis Montiel","Olea, Jose Luis Montiel",Olea,Jose Luis Montiel,2
WOS:000406177000007,"WOS:000406177000007_Lopez-Salido, David","Lopez-Salido, David",Lopez-Salido,David,1
WOS:000406177000007,"WOS:000406177000007_Stein, Jeremy C.","Stein, Jeremy C.",Stein,Jeremy C.,2
WOS:000406177000007,"WOS:000406177000007_Zakrajsek, Egon","Zakrajsek, Egon",Zakrajsek,Egon,3
WOS:000354733000002,"WOS:000354733000002_Bertrand, Marianne","Bertrand, Marianne",Bertrand,Marianne,1
WOS:000354733000002,"WOS:000354733000002_Kamenica, Emir","Kamenica, Emir",Kamenica,Emir,2
WOS:000354733000002,"WOS:000354733000002_Pan, Jessica","Pan, Jessica",Pan,Jessica,3
WOS:000351525000009,"WOS:000351525000009_Atkeson, Andrew","Atkeson, Andrew",Atkeson,Andrew,1
WOS:000351525000009,"WOS:000351525000009_Hellwig, Christian","Hellwig, Christian",Hellwig,Christian,2
WOS:000351525000009,"WOS:000351525000009_Ordonez, Guillermo","Ordonez, Guillermo",Ordonez,Guillermo,3
WOS:000336146600009,"WOS:000336146600009_Gollin, Douglas","Gollin, Douglas",Gollin,Douglas,1
WOS:000336146600009,"WOS:000336146600009_Lagakos, David","Lagakos, David",Lagakos,David,2
WOS:000336146600009,"WOS:000336146600009_Waugh, Michael E.","Waugh, Michael E.",Waugh,Michael E.,3
WOS:000935190200001,"WOS:000935190200001_Guvenen, Fatih","Guvenen, Fatih",Guvenen,Fatih,1
WOS:000935190200001,"WOS:000935190200001_Kambourov, Gueorgui","Kambourov, Gueorgui",Kambourov,Gueorgui,2
WOS:000935190200001,"WOS:000935190200001_Kuruscu, Burhan","Kuruscu, Burhan",Kuruscu,Burhan,3
WOS:000935190200001,"WOS:000935190200001_Ocampo, Sergio","Ocampo, Sergio",Ocampo,Sergio,4
WOS:000935190200001,"WOS:000935190200001_Chen, Daphne","Chen, Daphne",Chen,Daphne,5
WOS:000728439200001,"WOS:000728439200001_Michalopoulos, Stelios","Michalopoulos, Stelios",Michalopoulos,Stelios,1
WOS:000728439200001,"WOS:000728439200001_Xue, Melanie Meng","Xue, Melanie Meng",Xue,Melanie Meng,2
WOS:000672777600009,"WOS:000672777600009_Miller, Sarah","Miller, Sarah",Miller,Sarah,1
WOS:000672777600009,"WOS:000672777600009_Johnson, Norman","Johnson, Norman",Johnson,Norman,2
WOS:000672777600009,"WOS:000672777600009_Wherry, Laura R.","Wherry, Laura R.",Wherry,Laura R.,3
WOS:000507362800002,"WOS:000507362800002_Chodorow-Reich, Gabriel","Chodorow-Reich, Gabriel",Chodorow-Reich,Gabriel,1
WOS:000507362800002,"WOS:000507362800002_Gopinath, Gita","Gopinath, Gita",Gopinath,Gita,2
WOS:000507362800002,"WOS:000507362800002_Mishra, Prachi","Mishra, Prachi",Mishra,Prachi,3
WOS:000507362800002,"WOS:000507362800002_Narayanan, Abhinav","Narayanan, Abhinav",Narayanan,Abhinav,4
WOS:000507362800010,"WOS:000507362800010_Redding, Stephen J.","Redding, Stephen J.",Redding,Stephen J.,1
WOS:000507362800010,"WOS:000507362800010_Weinstein, David E.","Weinstein, David E.",Weinstein,David E.,2
